Game,Retweet Count,Likes Count,Tweet,SoV_Tweet,SoV_Likes,SoV_RTs
@AxieInfinity,25218,14884,4523,89.54662,91.44753,93.88333
@themachinesgame,807,997,300,5.939418,6.125584,3.004356
@BattleBears,117,144,91,1.801623,0.884738,0.435576
@axieDoLL,301,127,69,1.366066,0.78029,1.120584
@bowleddotio,31,43,48,0.950307,0.264193,0.115409
@AxieChampions,286,55,9,0.178183,0.337921,1.064741
@TribestersWorld,91,26,9,0.178183,0.159744,0.338781
@MechInfinity,10,0,2,0.039596,0,0.037229
