Game,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber
Axie Infinity,59737,2367,699,883651,91.69148,91.14363,94.07806,92.25282
The Machines Arena,5358,228,44,74200,8.224098,8.779361,5.921938,7.746451
Battle Bears,55,2,0,7,0.084421,0.077012,0,0.000731
