Game,Retweet Count,Likes Count,Tweet,SoV_Tweet,SoV_Likes,SoV_RTs
@Ronin_Network,1869,9325,4183,2075,,
@Immutable,449,3116,1153,676,,
@GamingOnAvax,1022,2956,292,281,,
@GoGalaGames,94,707,276,523,,
@WAX_io,72,333,189,67,,
@flow_blockchain,51,262,184,38,,
@polygon_onchain,9,112,98,100,,
@oneuniverseCA,2,43,29,23,,
